,Sentence,Polarity_Classification
8367,이거뭐지? 영화여 드라마여?? 암튼 티비에서 시리즈로 방영하면 좋겠다. 주인공 하고 친구하고 연기가 너무 자연스럽고 재밋다.,Positiva
8368,이게뭐지?? 도무지이해가안감 도와주세요 나 낚인건가요?,Negativa
8369,ㅎㅎㅎ 진짜 정신 나갔 네요 .. 제 가 옆 에 있었 으면 K7 타는 주제 에 어디 창문 열고 짓 걸 여 나와 서 절 해도 모자랄 판 에 라고 해주고 싶 군요 ㅎㅎㅎ,Neutra
8370,스토리는 안드로메다로 날려버리고 귀신은 귀엽기만 하고 강시는 뭐.. 하는게 없네 이게 영화면 나도 감독 도전할 수 있을 것 같다,Negativa
8371,전문가평점은 믿을게못됌....,Negativa
8372,제일 좋아하는 영화. 내가 너무 때 탔다 싶을 때 보는 그런 영화.,Positiva
8373,말 필요엄따~~~~진정,Positiva
8374,그나마 영상이 마음에 들어서 주는 평점. 내용도 그렇지만 일단 배우들 연기가 별로,Negativa
8375,현실적이잖아. 돈아 브랜든을 따라갔다면 좀 달라지지않았겠어??,Positiva
8376,가슴이저려서...눈물이난다...,Positiva
8377,"줄거리,연출,연기 모두 어색한 영화. 산타바바라의 경치나 매력또한 담지 못했다. 너무 엉성해서 보는내내 시간이 너무 아깝더군요.;",Negativa
8378,정면승부 같은 소리 하네. 코난하고 진 대면하는게 꿈;; 참 황당하다;;,Negativa
8379,Arthur는 일찍 죽을 예정이지만 시계 바늘 모양의 열쇠에 의해 목숨을 구합니다. 열쇠는 예측을 뒤집을뿐만 아니라 기이한 창조물을 세상에 소개하는 힘을 가져옵니다.,Neutra
8380,으엑 더빙 때문에 안본다,Negativa
8381,강경은 니네들이 지킨다고 치자 우리나란 누가 지키냐...,Negativa
8382,6점대 영화가 아닌데 이거 영상미가 너무 아름다워서 3번도 넘게본 영화임,Positiva
8383,어.. 전 무섭던데. 말 못하는 아이가 손가락질하는 유령...,Positiva
8384,좋지 못한 영화,Negativa
8385,감독 때리고싶다. 이따위로 만들다니 이런 영화를 돈주고 본 사람들이 불쌍하다.,Negativa
8386,주인공 말만 많고 보는 내내 지루..,Negativa
8387,아르젠토님과 제니퍼가 만나면...= 환상의 궁합이구나!!,Positiva
8388,McDermid의 3번째 소설입니다. 예전에 '노래하는 인어'와 '와이어 인 블러드'를 읽었습니다.,Neutra
8389,외국 사람들은 웃길지 모르겠지만 나에게는 지루함의 연속,Negativa
8390,형 믿어.킬링타임용도 아까워.군대에서 야밤에 몰래 보다가 꺼버릴정도였다.,Negativa
8391,그냥 저냥 볼만합니다.,Negativa
8392,왜 전투씬이 없어..액션만화에 전투씬이 왜 없어..왜 적들이 다 발려..,Negativa
8393,Arthur Penhaglion의 학교 첫날과 상황이 좋지 않습니다.,Neutra
8394,전 3편과 1편이 좋았기 때문에..,Negativa
8395,감독보니 답나오네요..,Negativa
8396,"남자,여자배우 가릴것 없이 골초들의 담배연기만 화면 가득히... 감독도 골초일듯...",Negativa
8397,유사라는 그냥 낚시용 미끼네요 주연도 아니구만 주연인양 이름 올려놧네,Negativa
8398,또봐도재밌엌ㅋㅋㅇㅇ,Positiva
8399,1편보다 2편이 더잘만들어진 몇안된영화,Positiva
8400,마녀성우 연기 잘하는듯애니자체는 별로 안재밌다캐릭터성 만들려고 억지로 신발끈설정함아이의 관점에서보면 재이가 있나??어른이라그런지 노잼,Negativa
8401,나한텐 별로;; 이게 15세라는것도 좀 그렇다...,Negativa
8402,자연스럽게 어디서나 춤출 수 있는 분위기가 형성될 수 있기를...,Positiva
8403,"미스터 먼데이는 극단의 판타지 소설로, 그 구별과 함께 가는 많은 진부한 것들이 있습니다.",Neutra
8404,가솔린 스포티지 는 한번 도 본적 이 읍 네 요,Neutra
8405,김재중 송지효 다른 조연분들이 너무 아깝다;; 이런 영화에 출현하실 분들이 아닌데;영화 티저나왔을땐 엄청 재밌는줄..이건 그냥 재미를 떠나서 뭔지도 모르겠고 B급 성도착증 영화같아..cg도 조잡,Negativa
8406,1편이 솔직히 지존 명작이였고 2편도 나름 감동있고 재밌었어..,Positiva
8407,반대 만 누르 지 말고 반박 을 해봐 저 도 더 품질 좋 은 현 기차 를 사고 싶 어서 르노 가 현기 점유 율 에 영향 을 주길 제발 바라는 사람 중 한 사람 인데 별로 그럴 일이 없어 서 안타깝 네요 .,Neutra
8408,최악.............;; 정말 별로 중에 별로,Negativa
8409,오랜만에 김봉두를 봤다..참 볼떄마다 이 영화는 감동이다.. 유년시절이 생각나는 영화 ..고마운 영화,Positiva
8410,CG기술만을 내세운 빈약한 영화. 게다가 그 CG도 빈약함,Negativa
8411,가히 천재적이라 할 만 하다. 지금 기술력으로 만들라 해도 이것을 능가할 수는 없다.,Positiva
8412,우디 알렌의 영화를 보면 희극이란게 이런 것이라는게 느껴진다.,Positiva
8413,솔직히 너무 재미 없음.,Negativa
8414,소리에 놀랐다. 공포가 아닌 짜증을 느꼈다. 영상 없이도 충분했다.,Negativa
8415,종합 평점은 4점 드립니다.,Negativa
8416,"내가 만들어도 이거보단 잼있게 만드리.,",Negativa
8417,평점 저질 우하히헤하홍,Negativa
8418,애들 영화라 별루기대 안했는데 의외의 반전이 있었네요.,Positiva
8419,아직도 여운이...,Positiva
8420,그는 달려야 할 때 천식 발작을 일으키고 추위에 떨고 있습니다.,Neutra
8421,"디스트릭트9때부터 Sf영화를 보면서 무언갈 느끼기는 쉽지는않은대 항상 볼때마다 감독이 인간에게 항상 무슨메세지를 전하려는것같다휴잭맨이 인간의인격을가진 채피한테 """"""""넌신이만든괴물이야! """""""" 라고할때 소름 돋았다""""",Positiva
8422,그냥 갱단 예기를 다루지 ... 미국 정부에서 고르고 고른 요원이 군영창에서 썩다나온 비만 돼지라니 그것도 전직 네이비씰 대원 참 매치도 안되고 그후반 하는짓 보면 더가관 ... 특히 저비만 돼지는 한국 비하한 랩으로 한때 la폭동을 선동 했지,Negativa
8423,이연걸 영화 중 최고!,Positiva
8424,개연성이 너무 없어서 보는 내내 빨리 끝나기를 기다림,Negativa
8425,에드리안 라인의 남녀간심리묘사연출은 일품.알렉스만 불쌍하다,Positiva
8426,이 두 가지 신비한 물건을 사용하여 그는 완전히 새로운 세계에 대해 배웁니다.,Neutra
8427,저는 개인적으로 별로 즐겨보진 않았지만 잘 쓰여진 책이라 몇몇 분들은 많이 좋아하셨습니다.,Neutra
8428,잭이 제정신인가 아니면 정신을 잃는가,Neutra
8429,"거기에서 섹스와 학대, 이혼과 가치에 대한 주제가 철저히 묘사됩니다.",Neutra
8430,주제에 대한 변형을 작성하는 대신 다른 것을 시도한 McDermid에게 감사를 표하지만 주제는 그녀가 정말 잘하는 주제이고 이 노력은 약간 실망스럽습니다.,Neutra
8431,지석아~우리의 인연생각해서 9점~~ 근데 영화 대박이다 참...못만들었다는 ㅠㅠ,Positiva
8432,SM6 는 직진 잘 되는 가 eps 는 전부 약간 틀어 지 지 않는 가,Neutra
8433,곧 Arthur는 Mister Monday와 피 묻은 날개를 가진 복수를 추구하는 무리에 의해 포위됩니다.,Neutra
8434,완전재밋어요~강호동님역시최고!!좋아요^^,Positiva
8435,음...그냥그럭저럭인...,Negativa
8436,"막장도 앵간히 해야지 진짜 오늘 채널 돌리다가 우연히 처음 봤는데 진짜, 앵간히 해라진짜 그 좋은 연기력들 가지고이런 작품 아니 이런 개막장 밖에 선택 못하나?",Negativa
8437,모든 걸 담으려다 넘쳐 흐름. 과유불급이라.,Negativa
8438,이딴 영활 왜 보냐?? 시간낭비,Negativa
8439,"연출 전반이 홍상수 빠 인건 알겠는데, 상수는 일상성에 빠져서 자기 컨셉을 독특하게 지향하는 감독이고, 이 영화로 보여주는 당신의 정체성은? 일상성 영화는 모방이 아니라, 경험하는 감성이니.. 자기것이 아닌 것을 모방할때의 이질감을 어찌하리오.",Negativa
8440,멋찌네용... 아직도 이런 아마추어 영화가 만들어 지공 있다니...,Negativa
8441,c 타입 인 스파크 의 핸들링 이 좋 다는 글 이 종종 올라오 곤 하는 데 .... 이로 서 핸들링 을 결정 짓는 건 c 타입 이 냐 r 타입 이냐 의 문제 가 아닌 것 으로 판단할 수 있겠 군요 ....,Neutra
8442,무슨 영화길래 평점이 운지수준이냐,Negativa
8443,포스터만번지르르하다,Negativa
8444,마리옹 꼬띠아르가 에디트 피아프역을 너무 훌륭하게 연기했네요,Positiva
8445,날것을 베어 물었을 때의 오감.,Negativa
8446,그냥 영화 스토리도 이상하고 코미디 라더니 보는내내 웃기지도 않고 이영화볼분 절대보지마요 돈낭비 시간낭비 그냥낭비,Negativa
8447,봉달희 아나토미 캴캴캴,Negativa
8448,그래픽도 그렇고 퀄리티가 떨어집니다.,Negativa
8449,DVD방에서 친구들이 3편안봤다구 3편먼저 봤는데 이게 제일 무섭다니.. 공포영화치고는 제일 안무서웠던듯;;마지막끝난지도몰랐었음..,Negativa
8450,문채원이. 몽골말을 한국말로 함. 억양도 공부 안하고 찍은듯. 보다가 짜증났던 기억임.,Negativa
8451,진짜 전설적인 작품 볼때마다 설래고 기억속에강하게남긴 대작,Positiva
8452,전편에서 그쳤어야 하는 영화중 하나.,Negativa
8453,"이영화에서놀라는게2번,개추",Negativa
8454,그 니깐 저 도 궁금해서 ㅋ 옵션 만 보면 지금 K7 보다 나은 게 많이 있 습니다 나파 가죽 시트 . hid 통풍 등등 구형 이 나은 것 도 많네 요,Neutra
8455,"이게 영화냐 18.. 감동은 조빠는 소리들 하고 자빠졌네,, 개 쓰레기들 쳐 모아가지고 웃기지도 않고 감동 재미도 없고 3류 쓰레기 중에 개 쓰레기 영화 18 눈 배렸다",Negativa
8456,옛팝송도 좋코 감동도 있고 8점은 나와야하는데 너무 낮아서 10점 줍니다,Positiva
8457,휴 잭맨과 맥 라이언의 조화.. 정말 재밌었다..,Positiva
8458,"애처롭고 처량하기까지한,몰락한 홍콩영화의 마지막 안간힘.꼴불견에다,볼썽 사납다.",Negativa
8459,이 영화 왜 볼 수가 없죠? 어디서도 볼 수가 없어요! ! !,Positiva
8460,"대략 19년만에 다시보는데, 이런 의미가 있다니...",Positiva
8461,"이 영화에 10점 준 사람들은 정말 쥬라기 공원 1 보고 이 영화 보고 평점 준건가? 전편이 워낙 잘 만들어서 그런것도 있지만 이번편은 정말 아님. 감독이 스필버그인지 의심스러울 정도로 배우들 연기도 최악, 감동도 없고 연출은 더욱 최악.",Negativa
8462,음악의 오용과 적용을 모두 볼수 있는 용례법,Negativa
8463,이게 뭐야 도대체;;;,Negativa
8464,왜 아빠를 보고도 못알아보는거니??뚱뚱한앤쵸지랑 닮았고 선글라스는 시노랑 닮았는데속터져 죽을뻔,Negativa
8465,이 책에서 내가 마음에 들지 않는 점은 Arthur가 그의 나이처럼 보이지 않는다는 것입니다.,Neutra
8466,아마도 내가 본 시걸의 마지막영화가 될것같다,Negativa
8467,쉣더뻑 옛날에 본 기억이 있어서 다시봤는데 이건좀 아닌듯하다 평점이 낮은 이유가있네,Negativa
8468,이번 아반떼 뒷좌석 이 헤드 룸 이 좀 낮죠 그 이유 가,Neutra
8469,작가님의 글솜씨가 좋은줄 알았는데 스토리텔링 능력이 부족해서,Neutra
8470,최고... 막장 없고 악역없고 재미와 감동은 있다.캐릭터 하나하나가 다 정이가고 이해가 된다.배우분들 연기 다 좋지만 이희준 연기는 100% 김창만.,Positiva
8471,난 참 이상한 생각 이 든 다 . 이글 을 보면 있지 도 않 을 상황 을 왜 만들어 서 태스트 를 하냐 이런 것 같은 데 현대 자동차 광고 들 이 거의 전부 있지 도 않은 상황 을 만들어 서 테스트 하는 거 다 예 를 들 면 신형 아반떼 광고 보면 쇼바 에 무슨 장치 를 달 고 각 바퀴 를 엄청나게 떠 는 광고 가 나온 다 . 자동차 는 그런 테스트 를 왜 하는 가 어쩌다 한번 있 을 혹시 모를 상황 을 대비해서 하는 테스트 아닌 가 ? 글쓴님 의 주장 은 어 불성 설 이다,Neutra
8472,현대차 도 있고 폭스바겐 도 있었 어요,Neutra
8473,"일본, 미국 애니보다가 이거 보니... 진짜 무슨 장난같다 ;;",Negativa
8474,진짜 진심 이걸 영화라고 투자하고 투자받고 출연하고~~~참나ㅜ 어떻게 이런 일이ㅜ,Negativa
8475,"중요한 것은 생략하지만, 책의 대부분은 가명을 사용하는 경찰관을 중심으로 이루어졌다는 것을 말씀드릴 수 있습니다.",Neutra
8476,내 친구 현대 영업 사원 차 팔 기 바빠 보배드림 들어와 보지 도 못 하더 군 여 ㅋ 항상 신차 소식 은 내 가 알려 줌,Neutra
8477,경기 비디오 보고 선수 제작진이 뽑아서 경기 시킴 ㅉㅉ..,Negativa
8478,신선하고 환경파괴에대해서 자연과 인간의 공존 전쟁 등등 많은 교훈을 주는 애니메이션. 원작 만화책을 구하기힘들다는게 너무아쉽다,Positiva
8479,네이버 평점은 믿을게 못된다.,Negativa
8480,히소카 원래 성우를 돌려줘;ㅁ; 왜 그 성우님 안쓴거지? 테니프리하면서 귀여움 만땅으로 변해 연기하기 힘들었나?,Negativa
8481,아반떼 가 생긴 거 답지 않게 좀 물렁 한 편 인 건 사실 . 현대차 가 다 그렇 진 않아 요 .,Neutra
8482,2013년에 감상했음에도 불구하고 멋진 화면구성과 리얼리티는 가히 최고. 추억을 떠올리게 하는것도 좋았습니다.,Positiva
8483,돈 안내고 밝은날 티비에서 해주는 것 한번 보고 뭐니 뭐니 하는 미개충들 걍 가라^^,Positiva
8484,극장판이라 tv 방영판과는 다를 줄 알았는데 완전 똑같아요. dvd도 가지고 있는 상태라 그런지 도대체 왜 개봉을 한 건지 이해가 안 되네요. 빨간머리 앤 자체는 충분히 사랑스럽지만 극장개봉판에 대해서는 아주 실망입니다.,Negativa
8485,정말 너무 재밌게 본 영화. 처음으로 평점이란걸 남겨본다. 감히 상상할 수 없는 임창정의 연기는 소름이 돋는다. 뒤의 스토리를 미리 예상하지 않고 장면 하나하나에 집중하면서 볼 수 있는 영화.다시한번 봐야겠다,Positiva
8486,원주율,Negativa
8487,반전 좋아 재미있게 잘 봤네,Positiva
8488,이건 또 무슨 복날 아침 부터 개짖 는 소립 니까 ... 좀 알 아들 을 수 있도 록 글 을 쓰세 요 . 사회 문화 팀 장이 어쩌고 하는 대목 은 마치 나 는 현대차 에 근무 했 었 고 니 들 이랑 말 섞는 게 불쾌 하다 는 느낌 을 주네 요,Neutra
8489,먼저 그는 미스터 먼데이에서 하원을 되찾고 그의 부하들에서 살아남아야 합니다.,Neutra
8490,초반만 좋았듬,Negativa
8491,이게 영화임? 드라마보다 스케일이 적은 영화라니...,Negativa
8492,참내.. 기가 막혀서..,Negativa
8493,쓰레기를 선물상자로 포장해봐야 ;,Negativa
8494,언제나 그랬듯이 B급 오락영화로는 이만한 영화 없는듯...단지 취향차이로 점수가 낫긴하지만 다소 고어적인 요소를 즐길 심장을 가지고 있는 사람에겐 역시나 통쾌한 영화였음 ㅋ,Positiva
8495,정우성 대표작! 짱 머싯댜,Positiva
8496,함께보던 엄마 왈 '돈주고 보래도 안본다',Negativa
8497,"같은 동족이라는 걸 떠나서 같은 인간으로써 도울 수 없다는게 안타깝네요. 장성택사건도 그렇고 머지않아 북한체제가 자멸할 날도 멀지 않은거 같은데... 중국이 호시탐탐 노리고 있고, 결국엔 북한땅을 중국에게 또 빼앗길 것 같네요.",Negativa
8498,"뻔한전개, 스토리... 아 윌스미스...",Negativa
8499,김희애의 매너 배려심허당 이승기의 매력 완존 짱,Positiva
8500,잔잔하면서 여운이 깊어요 배우들도 영상도. 이런영화 너무 좋습니다 :),Positiva
8501,안 보는게 정신 건강에 좋을듯..,Negativa
8502,100분이라도 길게 느껴지더라,Negativa
8503,저 는 쉐까 가 아닙니 다 .. 저 는 현기차 도 은색 은 싫어합 니다 .. 화려하고 눈 에 확 들어오는 색 을 좋아합 니다 .. 체리 핑크 쵝오 !!,Neutra
8504,볼가치도없는 영화다,Negativa
8505,웃기 고 있 네 스포티지 베이스 가 아반떼 xd 에요 쿠킹 호일 이라 부르는 아반떼 md 가 훨씬 더 튼튼한 데,Neutra
8506,잘만들었어요.,Positiva
8507,마지막 반전에 정말 소름이 돋았네요 킬리언 짱짱,Positiva
8508,비디오용으로도 아까운 졸작. 최저의 제작비 쓰레기,Negativa
8509,"끝없는 집의 높이에서, 그는 아래 부분의 정당한 상속인입니다",Neutra
8510,배창호 감독이 내게 실망을 안겨준 첫작품이다.부인과 함께 한 작품이라기대반 우려반이였는데 ...암튼 별하나도 아깝다. 이영화 본지 오래됐지만 드럽게 재미없고 드럽게 엉성한 영화였다는것만은 또렷이 기억난다.,Negativa
8511,딱 보니 그냥 에쿠스 구만 / 현대 는 기본 기 충실 한 차 를 만들어 라,Neutra
8512,"삶다운 삶, 영화다운 영화",Positiva
8513,사오리 하라는 이쁘지만 영화는 아니잖아요. 수입사가 돈이 많은가봐,Negativa
8514,카니발 인 줄 ㄷㄷㄷㄷㄷㄷ,Neutra
8515,별로 재미없다 ㅋㅋ,Negativa
8516,이 영화를 이제서야 봤습니다 감성이 사라졌다 생각했는데... 주책맞게 이 늦은시간에 펑펑 우네요..,Positiva
8517,간만에 속시원한 드라마~,Positiva
8518,영화보고 잘안우는데 질질짯다... 꼭보시길바랍니다....,Positiva
8519,이 영화 보고 공포에 질려 바닥을 보면서 걸었다. ㅋㅋ 머리속에서 계속 생각남,Positiva
8520,별로였습니다.아이도 안 좋아했고요.,Negativa
8521,이야기는 기본적으로 이중 로맨스이지만 Zindel은 책을 '로맨틱'이라고 설명하기에는 삶의 추함을 너무 많이 파악합니다.,Neutra
8522,삼류 영화의 기원...,Negativa
8523,.... 이분 이 셧 군 ..... 예전 프 동인 가 에 올라온 사진 보고 ... 세상 에서 가장 이쁜 베롱 이라고 ... 사진 퍼가 서 제 싸이월드 에 올린 그 차량 의 주인 이 여기 나타나다 니 .. 진짜 다 !!! 진짜 가 나타나 버렸 다 !!!!! ( 전 그때 프라이드 를 .. 타고 있 었 다는 ..... 하이 튜닝 메인 에도 걸린 적 이 있다 능 ... ㅋ ),Neutra
8524,&lt;br&gt; 그러던 중 Aurther는 자신만 볼 수 있는 이상한 집을 발견하고,Neutra
8525,맛뿐만아니라 건강하기까지 해 보이는 음식들과 음식이 되는 식재료의 성장뿐만아니라 주인공의 성장까지...잔잔함에 비례하는 이 격렬함,Positiva
8526,진부한 전개에 오버 연기를 더해서 나락으로 추락하는 시리즈,Negativa
8527,아이들에겐 그런데로 좋을꺼라고 생각되나.. 나에겐 잠을 선사한..,Negativa
8528,"벤츠 비엠 잘 팔리 게 해줄 려는 현대 의 배려 같네 요 , 구매 하실 분 들 바로 위 의 벤츠 비엠 으로 많이 가실 듯 ,,",Neutra
8529,"Aurther, Suzy Blue{그가 가는 길에 사귄 친구} 그리고 Will은 이제 Monday를 물리치기 위해 많은 위험한 일을 겪게 될 것입니다. 이상한 전염병에 대한 치료법, 그리고 수지가 그들 모두를 돕습니다.",Neutra
8530,재밌어요 잘봤습니다~^^,Positiva
8531,일을 하는 동안 그녀는 모든 사람과 거의 완전히 단절되고 매우 외로울 것입니다.,Neutra
8532,내 살다살다 별ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다시 보긴 싫다ㅋ,Negativa
8533,최고의 커플연기를 보여준다,Positiva
8534,재미도 없고 감동도 없고 긴장감은 더 없고..,Negativa
8535,닉vs여주 핵발암 핵쓰레기 두명땜에 도데체 몇명이 피해를 보는거냐 ㅋ..,Positiva
8536,심리에 대한 이야기를 깔고 있는 병적인 이야기......,Positiva
8537,이연걸은 역시 홍콩의 액션스타다.영화 정말 재밌다.,Positiva
8538,나 또한 산자 혹은 죽은자가 될 수 있는 진짜 현실,Positiva
8539,영화라는 장르에서 두남녀 주연 배우가 얼마나 중요함을 보여주는 걸작~!! 영화보다 두 배우가 찬란하게 빛나는 아름다움~!,Positiva
8540,당신이 내게 와 준 그때를 간직할께요...,Positiva
8541,오랜만에 다시봤는데 역시 재밌었다미래에는 이런게 가능할까??라는의문이든다,Positiva
8542,현대차 짬뽕 시킨 디자인 이네,Neutra
8543,배우들의 연기와 반전이 인상에 남았다,Negativa
8544,10대 여자들이나 보면 딱 좋을 영화..질 떨어지는 영화가 관객수가 머가 이라도 많아? 나참 기가 막혀.,Negativa
8545,왜 자리가 비면 그때서야 알까.,Positiva
8546,주상욱씨의 연기가 아깝네요. 도무지 작위적인 설정과 전혀 납득이 안 가는 반전까지. 벗기기 위해서 너무 과잉 플롯,Negativa
8547,Kobler는 Al Capone의 모든 복잡성을 보여줍니다. 그는 사악한 특성을 가질 수 있지만 Kobler의 전기에서 매우 실제적인 인간이 나타났습니다.,Neutra
8548,"독특한소재인정! 다만, 공감안가는1인! 기계쪼가리에 의존하는 인물에 짜증만 날뿐!",Negativa
8549,[ IMDB 6.2/10 ] 돈을 놓치다.,Negativa
8550,"스토리 죽이네~ 1편꼭봐야함 믿고보는 제임스완! 애인이 공포물 안좋아하는데 이영화는 1,2 편 다봤음 천재감독 컨저링도 잼있떠^^ 이런거 넘좋아~~~♡",Positiva
8551,홍상수 감독 영화 중에서 가장 재미있게 본 작품입니다. 이 작품을 통해 문소리 라는 배우를 다시 보게 되었습니다.,Positiva
8552,이건 뭐 공포도 아니고 혐오물도 아니고ㅋㅋ,Negativa
8553,중국 이 저럼 한 차로 올라오고 일본 의 엔 저 로 공격 해오는 데 새로운 기술 로 맞서지 않으 면 도퇴 대고 사라지는 건 자연스러운 것 임 ... 사회 적 충격 은 갑작스러운 부도 가 아니 면 상관없 죠 .. 약하면 먹히는 세상 에서 얼마나 현기 가 버티느 냐 가 중요하겠 죠 ...,Neutra
8554,재밌는뎅,Positiva
8555,so boring ...,Negativa
8556,어처구니없는 하이틴+공포영화.. 카밀라 벨만 예쁘다,Negativa
8557,내인생 최고의 명품 영화,Positiva
8558,발꼬락으로 만들어도 이것보단 잘 만들겠다.이딴 영화 평점봐라.솔까말 필름값이 아깝다.,Negativa
8559,계획된 자살로 이야기를 시작하면 정확히 두 가지 가능한 결과가 있습니다.,Neutra
8560,선입견이 많은 미스터먼데이를 집어들었어요,Neutra
8561,4편이 최악이라는 멍청이들 말 듣고 3편 빌려서 다시 봤는데 노답... 아저씨한테 트랜스포머를 빌려달라했는데 미군영화를 빌려줬어... 멍청이들아 4편이 훨씬 재밌잖아! 미군안나오는게 어딘데...ㅡ ㅡ,Negativa
8562,원작에 비해 많이 떨어질거라 예상하고 보는거라서 볼만했다. 기대를 하지말고 봐라,Negativa
8563,열쇠와 씨,Neutra
8564,박평식이 이렇게 평을 잘주다니 평생가다 한번볼듯,Negativa
8565,이야기 내내 아서의 동맹 중 하나인 수지는 형편없는 직장에서 세상을 구하는 일을 하는 것으로 변했습니다.,Neutra
8566,별 1개도 아까운 쓰레기 남녀역차별 프로그램,Negativa
8567,Hill과 Jordan은 과거에 전문적으로 협력했습니다.,Neutra
8568,헐리우드급 CG에서 웃으면 되는가?,Negativa
8569,저런 헥사 고날 은 현기 가 원조 입니 다 . 포드 가 언제 부터 헥사 고날 을 썼 다고 .. 그리고 저 게 헥사 고날 만 똑같 나요 ??,Neutra
8570,어렸을적 원작을 기억하는 나로서는 글쎄....,Negativa
8571,"나는 그녀의 ""친구들""이 Liz와 함께 낙태를 하기 위해 동행했다고 추측했을 것입니다.",Neutra
8572,원시부족이 원시인이냐?,Negativa
8573,뭐야 이거 할려면 화끈하게 하던지 장난치냐?,Negativa
8574,똥꼬에 삽입하고 손으러 음부 동시에 쑤시면서 하는장면,Positiva
8575,중국산 짝퉁 쓰레기 영화,Negativa
8576,그런 다음 나는 그것을 뒤집어 읽었고 주인공인 Arthur Penhaligon이 죽을 예정이었지만 그는 죽지 않았다는 것을 읽었습니다.,Neutra
8577,그는 Asmatha를 가지고 있고 분침 모양의 열쇠가 그를 구합니다.,Neutra
8578,뭐 이런영화가 다있어..;;;;;,Negativa
8579,솔직히 너무 높지 않은지요?,Negativa
8580,아 그거 야 당연하죠 . ㄷㄷㄷㄷ 근데 그럴 꺼 라면 차라리 도요타 부터 터 는 것 이 .... 그나마 일본 에서 잘 팔리는 게 폭스바겐 으로 들었 습니다 . 현기 본진 털 이 에 당장 시급 한 쪽 은 르노 닛산 얼라이언스 같아 요 제 가 이래 말씀 드리는 건 판매 랑 비교해서 말씀드리는 겁니 다 . 폭바 는 현기 보다 도요타 부터 하는 것 이 ...,Neutra
8581,재밋게잘봣음,Positiva
8582,기화 기 시절 이 죠 . 요즘 은 아닙니 다 . 더러 그렇 다는 분 은 대형 급 으로 ㅈ 올라가서 그런 거 아닐 까 요,Neutra
8583,"추천합니다, 꼭 보세요!",Positiva
8584,맞아 요 ~ 그렇게 따지 면 원래 는 SM7 으로 나왔 어야 될 차지 만 크기 핸디캡 으로 그렇게 했 다간 좀 위험한 게 과거 의 범퍼늘려 서,Neutra
8585,오버는 배우만 해야 되는디 감독까지 해부렀으야,Negativa
8586,케구 는 확실한 건 제네시스 급 같아 보임 ...,Neutra
8587,Capone과 그 전에 Torrio는 시카고 지하 세계의 주요 영향이되었습니다.,Neutra
8588,저는 정말 70년대 만든 영화인 줄 알았었다는~ 풍자도 좋고~ 재미도 좋고~,Positiva
8589,댓글을 보다보니 영화는 다봤군...코믹에로순정풍의 재미도 없는 하이틴드라마(?),Negativa
8590,실화라는점에서 10점,Positiva
8591,액션+스릴+멜로 적절하게 섞인듯함 -_-,Positiva
8592,개막장 ㅋㅋㅋㅋ 슬램덩크보다 막장이다 ㅋㅋㅋ 탄력이 무슨 NBA를 압도적으로 능가 ㅋㅋㅋ 주걸륜은 쿵푸햇다해서 이해하지만 나머지쩌리들이 무른 점프력이.....ㅋㅋㅋㅋㅋㅋ,Negativa
8593,역시.....감독님... 실망시키지 않는구나... 쵝오!!!^^,Positiva
8594,현대 많이 컸 네요 저 어렸 을 때 만 해도 외제차 보는 날 은 복권 사야 할 정도 였 는데 어느새 현기 를 프리미엄 과 비교 하며 간접 적 으로,Neutra
8595,가슴아프지만 가슴또한 훈훈해지는 영화,Positiva
8596,뉘 양 스 가 현기 만 저렇 다고 하니 까 그렇 죠 .. 사실,Neutra
8597,너무 감명적이고 꼭 사랑을 하는연인들에게 권하고 싶다.,Positiva
8598,연출이 뛰어남.. 재밌어ㅆ따~~,Positiva
8599,할말없음,Positiva
8600,정말 재밌다!!!! 코미디영화에 이보다 더 좋은 말이 어디있을까,Positiva
8601,다른건 몰라도 진짜 목소리가 닮은 거 아니면 연예인/개그맨 성우캐스팅 하지좀 말았으면…,Negativa
8602,그당시 영화들이나 지금 영화들이나 별 차이가 없다!,Negativa
8603,추억돋네...,Positiva
8604,최악이다!! 비추!!!,Negativa
8605,ig 출 시 전 에 아슬란 단종 시키는 게 낫 지 않 을까요 제네시스 브랜드 까지 하면 현대 승용 라인업 이 ..,Neutra
8606,현기 가 얼마나 좋 길래 이렇게 빨 아 댐 ? 난 잘 모르 겠 던 디 ㅋ,Neutra
8607,"콜로시모, 카포네 같은 사람들은 보호 사업에 뛰어듭니다.",Neutra
8608,ㅋㅋㅋㅋ 증거 갖고 오 니 말 바꿈 ㅋㅋ 밑 에 댓글 선 독일 삼사 도 다 현대 처럼 한 다 매 요 ?,Neutra
8609,성룡의 역대급 작품 중 하나!,Positiva
8610,현대 가 비슷하면 현빠수장 이 세계 적 인 디자인 추세 라고 하던 데 . .,Neutra
8611,별로 좋아하는시리즈는아니지만 어쩌다시리즈를다보게됐는데2탄보다더재미없다,Negativa
8612,"농업 - 콩, 고추, 옥수수 등",Neutra
8613,앞 모습 이 꼭 엑센트 ...,Neutra
