,Sentence,Polarity_Classification
16105,장편임에도 불구하고 몰입도가 상당히 뛰어난 영화. 늙은 주인공이 겪는 업보들이 상당히 안쓰럽다.,Positiva
16106,재밋던데,Positiva
16107,OO 이런걸 야하게도 안하면 멀 어쩌자는거야 왜 찍고서는 청소년 관람불가라고 해놓냐. 이렇게 찍어놓고 흥행할거라고 생각한건가 정녕?,Negativa
16108,이영화보고 울다 웃다했던 기억이 나네요! 무엇보다도 인피니트의 멋진 음악과 무대를 생생하게 볼수있어서 더욱 좋았습니다! 인피니트의 무한한발전을 기대합니다! 후속작품도 얼른 개봉하길! 인피니트 화이팅♡,Positiva
16109,5점은 됩니다.. 시간남아도는분들 보시길.. -_-;;,Negativa
16110,감히 광해따위는 넘볼수없는 걸작,Positiva
16111,시간낭비 애들이나좋아할영화,Negativa
16112,로버트A하인라인의 원작에 먹칠한 영화.,Negativa
16113,브래드피트가 연기한 아킬레스는 너무나 섹시하다.,Positiva
16114,언제봐도 명작이다. 이따금 시간날 때마다 다시 보곤한다.,Positiva
16115,주연들이무지아까웠던영화,Negativa
16116,이 영화 컴퓨터로는 다운받을 방법이 없을까요,Positiva
16117,빈틈없이 꽉 차있다. 연출도 연기도 미장센도. 시간 가는 줄 몰랐다.,Positiva
16118,푸하하하 몸매는 좋넹...,Negativa
16119,공포영화 마자?,Negativa
16120,존나야함드럽다진짜ㅡㅡ,Negativa
16121,이건 죽기전에한번은꼭보고죽어야해. 안보신분들 ㅎ,Positiva
16122,이러니까 망했지! ㅋㅋㅋ 잔인한거 좋아하는 사람만 보길 ㅋ 여자매만 불쌍하다...,Negativa
16123,아깝다 더 많은 곳에서 오래 개봉했어야 하는데 ㅠㅠ 새벽에 보니 무섭다 ㅋㅋ 보고나면 가슴이 아프다 ㅠㅠ 남자주인공 연기 굿!! ㅠㅠ,Positiva
16124,연애 5년차 별로 공감 안가고 윤계상 캐릭터 쓰레기 - -,Negativa
16125,"장르는 코메디인데 웃기지도 않는 영화, 돈 시간 아까운영화, 이런걸 사기라한다.",Negativa
16126,내가 본 무술 영화 최고 ㅎ,Positiva
16127,이런 것만 고르는 내 저주나 풀어주라.,Negativa
16128,재미없다..,Negativa
16129,많이 지루했음. 그렇게 긴 러닝타임도 아니었는데 빨리 끝나기만을 바라고 있었다. 내가 테오도르였어도 사만다와 사랑에 빠졌을 거 같다. 둘의 사랑은 잔잔하고 좋았는데 호아킨 피닉스만 너무 나와서 참고 보기 힘듬.,Negativa
16130,"보통의 공포 영화라고 하기엔, 좀 많은 생각이 필요한 영화죠.",Positiva
16131,역대 최고 일드,Positiva
16132,"눈빛이 너무 애잔하다 잔잔히 깔리는 노래도 좋고 그림도 예쁘고,",Positiva
16133,얼음은....문명이다...가 아니고 암모니아가 문명이다.,Positiva
16134,재밌는데...,Positiva
16135,음악 시간에 봤는데 넘 재밌어요.,Positiva
16136,영화는그냥쓰레기고 단한가지ㅡㅡㅡ이민정 팔다리 짧은게 참아쉽네ㅋㅋ 저얼굴에 팔다리가 길고 키가십센치만더크면여신일듯ㅋ,Negativa
16137,이런 젠장.. 웨슬리 이런영화 왜 나온거야??,Negativa
16138,"사랑의 조건은 서로를 있는 그대로를 받아 들이는 것에서 출발한다. 그리고 서로의 소외를 감싸안아 줄 수 있는 것, 그것이 바로 진정한 사랑의 조건이다.",Positiva
16139,파랑만장한 황제의 일대기의 고난의 역경은 마음에 와닺는다. 아쉬운 점이 이 有면 자서전이 조작됨. ㅠㅠ,Positiva
16140,재미없다고 별점 막깎는건 아니지. 매 회마다 재미있어야 되냐? 이런거 만들줄은 알아서 하나하나 트집잡고 깎아내리냐?,Positiva
16141,t-800 vs t-x 때 되개 재밌게봤네,Positiva
16142,"볼만했었는데, 시청률은 그다지 높지는 않았던 것 같다...",Positiva
16143,한국 사람은 한국 영화를 봐야함.,Positiva
16144,Good~! 라는 말밖엔...,Positiva
16145,고등학생 때 꼭 봐야할 영화!,Positiva
16146,"""""로망은 어디에!!"""""""" 각색되긴했지만... 재미있었음!! 책도 꼭 보시길 추천합니다~!!""""",Positiva
16147,슈퍼주니어 사랑합니당♥.♥,Positiva
16148,"일본 B급 액션, 막장, 난도질 영화! 그냥 평이한 영화로 시간 널널한 분들이 할거 없으면 볼수있는 영화!",Negativa
16149,뭐니??? 김기덕 감독이니 각본이니 하는데... 현실하고는 너무 동떨어진 영화~~ 무었을 말할라고 하는지는 알겠는데요~ 성질 나는 영화~,Negativa
16150,신하균 씨 정말 눈을 뗄 수 없는 연기예요!! 최고,Positiva
16151,...,Negativa
16152,어뜨케 시걸영화는 포스터랑 포즈 시걸표정이 똑같냐?...,Negativa
16153,재밌없어요,Negativa
16154,난 재미있게봤는데ㅋ...,Positiva
16155,30대 여성들이 멍청한 사람들이 많나보네 점수봐라.ㄷㄷㄷㄷ 에휴 골빈 똥통년들.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Negativa
16156,인상적이네요 삶을 바라보게 하네요,Positiva
16157,쩌네요~내가 원한 바로 그것을 보여 줌...,Positiva
16158,음..별로다..정말로....,Negativa
16159,웃기지도 로맨틱하지도 않다,Negativa
16160,위대한 징기스칸을 허접한 징기스칸으로 만든 영화. 그냥 초원에서 말달리는 허접한 영화. 제작비가 없으면 만들지를 마라!.....영화라고 할 수 없는 허접한 동영상에 불과하다,Negativa
16161,쪼끔 무서웠지만 잼는 영화였습니다^^,Positiva
16162,너무슬퍼요ㅜㅜㅜ코미디가 이렇게슬플줄이야,Positiva
16163,저는 마음의 병을 앓고 있었습니다. 우울증이란 무서운 병이죠... 그런데 아틀란틱림을 보고 나서 깨끗히 나았습니다. 평생 본 영화중에 최고의 역작이라 할수 있습니다. 제작비 엄청나게 들었겠네요.... 강추!!!! 꼭 보세요,Positiva
16164,짐캐리가 아니었으면 그저그런 코미디였을 것 같네. 데뷔 초엔 노숙생활하면서 힘들게 살았다는데..그만큼 노력했다는거겠지. 멋지다 짐캐리,Positiva
16165,버려,Negativa
16166,"야쿠자 존나멋있다.,",Positiva
16167,자신의 부끄러운 역사를 이리 담담하게 돌아볼 수 있는 독일인의 성숙된 역사의식이 일본과 비교된다. 그러네 어디서 개봉한 거요?,Positiva
16168,"(시걸)횽~어디 가?홍콩 액션영화의 대부 홍금보나,재키 챈과는 달리,기어이 퇴물이 되어버리고야만,스티븐 씨발~인정 사정없는,완성도의,초 궁극 졸작으로 돌아오다.아 윌비 백~컴백 홈",Negativa
16169,근영찡 춤 너무 잘춤 ㅜㅜ,Positiva
16170,수레기,Negativa
16171,짐캐리 연기와 더불어 르네젤위거 표정이 하드캐리한다..,Positiva
16172,1점짜리 영화이기 때문에..,Negativa
16173,레옹1과는 비교가안될정도.. 그냥 쓰레기영화,Negativa
16174,최고의 반담영화.,Positiva
16175,이말년이 돈이 많아서 약빨고 박물관의 유물이 움직이면 좋겠네 만든거랑 차이는 할라우드 제작이라는거지 정신력이 필요함 초반엔 뭐.. 중심이 없다고 해야하나,Negativa
16176,중국 근대역사를 영화로 풀어나가는 보기 드문 역작..,Positiva
16177,현실과 가슴 아픈 로맨스... 끝의 희열을 넘어 자꾸 아린다.,Positiva
16178,청춘은 퇴색되고 사랑은 시들고 우정의 나뭇잎은 떨어지기 쉽다.,Negativa
16179,와우 우연히 봤는데 매우 잘봤다,Positiva
16180,출연 배우는 좋은데..영화는 재미는없다..,Negativa
16181,강지환 넘좋아여,Positiva
16182,3명의 주인공이 만나게 되는 계기가 어이없을만큼 짜증이 났다.,Negativa
16183,후.. 인내심을 길러주는 영화,Negativa
16184,니들은 하수다.,Negativa
16185,재밌었다.. 망할 놈의 글자수 제한,Positiva
16186,오랫만에 2014년 하반기에 개봉을 한다니 기대 됩니다. 대박을 기원합니다어렵게 만든 영화인데 그동안 여러 사정때문에 뒤늦은 개봉이지만 아버지와 아들의 붕어빵같은 이야기는 영원합니다,Positiva
16187,원주율을 위해 1점을 드립니다,Negativa
16188,"으음,,,주인공들 성격 맘에 안들지만, ;; 으흠,,ㅋㅋ 애들은 좋아할듯??;;",Negativa
16189,"감동이 있네여,,, 코타케 귀엽당ㅎㅎ",Positiva
16190,"의도만 좋다. 시나리오, 연출, 짜임새.. 전체적으로 못찍은 영화. 평점 너무 후하다.",Negativa
16191,세상엔 이상한 영화들이 참 많구나... 윤아님이 아깝다.,Negativa
16192,CG가 너무하다 싶을 정도로 잘만들었다.,Positiva
16193,감독이 어디서 본건 많으나 그 어떤장면에서도 스릴러로써 만족감을 주지못한다,Negativa
16194,딱 킬링타임용 영화다 시간남아돌면 보길!,Negativa
16195,ㅈ,Negativa
16196,조금은 서툰듯한 연출이 정겹고 느낌좋다조금은 서툰듯한 연출이 정겹고 느낌좋다조금은 서툰듯한 연출이 정겹고 느낌좋다조금은 서툰듯한 연출이 정겹고 느낌좋다조금은 서툰듯한 연출이 정겹고 느낌좋다조금은 서툰듯한 연출이 정겹,Positiva
16197,"아직도 상영한단 말인가 ㅡ,.ㅡ",Negativa
16198,고쿠센 짱염 샤릉훼♡,Positiva
16199,"신곡 나온 아이돌 홍보를 너무 하고, 이휘재 유명한 사람들 너무 아는척, 잘난척 꼴보기 싫어 안 봄",Negativa
16200,돈주고 보기 아까운 영화편집자가 정말 개떡 같이 끊어놓은 이해불가 영상호두까기 인형과 맞먹는 영화,Negativa
16201,재밌고만 ㅋㅋㅋ,Positiva
16202,볼 만했지만 그냥그럼...,Negativa
16203,평점이 심각한수준으로 저하된 예.,Positiva
16204,그냥 p2p 가서 싸구려 야동을 다운 받는게 훨 유용 하다,Negativa
16205,"몇몇 에피소드는 1번 보아도 만족, 몇몇 에피소드는 2~3번 보아야 만족, 그리고 몇몇 에피소드는 계속 보아도 만족",Positiva
16206,박하선느님 사랑해요ㅎㅎㅎ,Positiva
16207,영화!,Positiva
16208,"스필버그가 왜 대단한 감독인지 알게 해준 영화는 화려한 블록버스터가 아니라 이 영화가 아닐듯 싶네요~ 스모크, 내츄럴, 하늘에서 온 엽서, 옥토버스카이와 함께 제가 꼽는 베스트5 고전영화 중에 하나입니다^^",Positiva
16209,왜 나야? 너 말곤 다 따분해. 넌 남달라. 스테판은 나랑 너무 닮았다.,Positiva
16210,어중간한 포지션....무언가 남겨주기엔 역부족....너무나 나약한 시선..,Negativa
16211,뜨거운 심장만 소유하고 있다면! 다니엘데이루이스에게 찬사를.,Positiva
16212,박한별 나온 분신사바 보고 역겨웠다 이감독이 만든건 쓰레기다,Negativa
16213,감동받았어요.,Positiva
16214,예전의 장예모는 색채뿐 아니라 이야기도 잘 만들었었다.,Positiva
16215,불쌍해서 19,Positiva
16216,이건 정말 법정드라마의 레전드감이다. 스타없이도 매회 조여드는 쫄깃함과 법적허점을 치밀하게 파고드는 주인공의 두뇌게임. 거기에 매회 반전에 반전을 거듭하는 최고의 드라마였다.,Positiva
16217,열받아 첨 리플단다. 미치겠다. 다들 정신들 좀 차려라. 이게모냐,Negativa
16218,재밌게 잘봤네요!! 대박,Positiva
16219,나 일본영화 팬인데 미안하다 똥쿠소 였다,Negativa
16220,그럴 듯 포장했지만 결국..,Negativa
16221,한국에 이런 수작 호러물이 있었다니..............,Positiva
16222,주원 김아중 둘 다 너무너무 좋아하는 배우인데 이 영화는 정말 심각히 재미없었습니다...ㅠㅠ스토리 개연성도 하나도 없고 편집이며 배경음악 사용이며 정말 괜찮은게 단 하나도 없었습니다....별로입니다ㅠ,Negativa
16223,어렸을때는 무섭 근데 지금보고 존나웃었다 ㅋㅋ,Positiva
16224,시간대 버프 많이받는 프로그램임,Negativa
16225,무섭지 않다. 아쉬움이 많이 남게되는 영화...좀더 잘만들지..,Negativa
16226,추악한 예능 아름다운 별점,Negativa
16227,격정의 젊음을 뒤로하고 단아한 중년의 레이첼워드의 매력이 빛난다,Positiva
16228,이 영화 정말 개똥 같네요,Negativa
16229,집중해서 보면 진심이 느껴진다. 하지만 집중하기 쉽지 않다.,Positiva
16230,보는내내진심오졌다개짱,Positiva
16231,가슴이 먹먹하네요..,Positiva
16232,아니 짐캐리의 파트너 저 바보가 지금 그 유명한 뉴스룸의 제프다니엘스 였어?ㅋㅋㅋ대박ㅋㅋㅋ,Positiva
16233,추석특집때 또 보고... 재밌긴 했다.,Positiva
16234,추천!!! 겁나게 재밌네 3d 애니 ~!,Positiva
16235,말이 필요없지. 지난번에 EBS에서 녹화하고 계속 돌려보고 있음.ㅋㅋㅋㅋㅋ,Positiva
16236,이거 작년인가 제작년에 다운받아 봤던건데..이걸 개봉을 하다니 대단하네 ㅋㅋㅋ,Negativa
16237,범수횽아나와서 그런거 아니다..! 볼만했음,Negativa
16238,영화는 머리로만 보던 나를... 마음으로 보게해준 첫 영화,Positiva
16239,우울할때마다 이영화본다. 진짜 우낌.,Positiva
16240,마치 내가 석유가 있는 땅을 발견한것 같은 카타르시스를 느낄수 있었다.,Positiva
16241,뭐지? 뭔가 나올 줄 알았는데 뭐 가 없네. 소라가 선주한테 그때 하고싶었던 말이 있었다던데 참나 . 정황상 친해지자 이런건가. 너무하네요 제가 여배우들 3명 다 좋아하는데요 특히 박진희 박지윤.. 이건 그저 지윤언니 멋있고 마는 영화,Negativa
16242,국민학교4학년때 우연히 읽은 소설때문에 너무 무서워서 덜덜 떨었던 기억이 ^^;,Positiva
16243,옛날에 재미있게 봤습니다.,Positiva
16244,소통을 명분으로 내세운 소외..,Positiva
16245,여기저기서 짜맞춘 듯한 스토리 구조와 그에 걸맞는 허접한 연기의 환상적인 앙상블~,Negativa
16246,"일루미네이션만의 신선한 개성, 표현. 좋은 내용. 아주 좋음!",Positiva
16247,"오디션 프로그램이 난무하는 요즘같은 시대에 딱이네..., !! 미디어가 사람을 어떻게 만드는 지 잘 보여주는 영화",Positiva
16248,오랜만에 빛나고 맑은 한국 영화를 만났다,Positiva
16249,60년대 작품으로 보기에는 대단합니다,Negativa
16250,웅장하다! 이런영화좋음,Positiva
16251,모든 출연자 주인공 스토리를 탄탄히 했으면 더나았을듯...다음주 끝나는듯한데 이제 파업끝?,Negativa
16252,내가 봤던 몇안되는 쓰레기 영화중한개,Negativa
16253,이 영화 평점 왜이리 낮게 평가 된건지 평점 맞추기 위해 십점!!!,Positiva
16254,어제밤에봤는데굉장히재밋었음,Positiva
16255,이거보다 블레이드나 봐라,Negativa
16256,진심 OOO 같다 어떻게 경찰 6명이 검은조직한명을 건드리지도 못하고 바로 기절하냐.그리고 영화가 너무 비현실적이다 진이타던 헬기에 달린총으로 코난을 향해 막쏘는데 어떻게 그걸 다피하고 헬기를 박살내냐 불사신이냐?,Negativa
16257,"떠남과 위안에 관한 영화, 강추!",Positiva
16258,최고의영화 .^^가슴이 먹먹하네요 ~ 추천합니다 !,Positiva
16259,태권도 기술이 나오기는 하냐? 마샬아츠아니야?900도 발차기가 태권도기술이냐... 옹박아류작,Negativa
16260,'자본-정치-전쟁'의 관계를 알게 해준다.,Negativa
16261,솔직히 둘째(황태범)얘기 빼면 완전 재미없었음....,Negativa
16262,전쟁에서는 젊어도 다시볼수 없는 얼굴이 된다 실화를 바탕으로 만든영화인듯한데 영화중 자유를 갈망하는 모습들을 볼수가 있다 탈영 항복하지않고 달려든 동생. 죽음도 자유이려나,Positiva
16263,아저씨를 이을 최고의 액션영화,Positiva
16264,젠장 나이들고 타락했나 찾아서 다시보니 강리나 몸매밖에 안보이더라..지금 왠만한 아이돌보다 몸매는 더좋다,Positiva
16265,캐스퍼생각나네요 ㅎㅎㅎ,Positiva
16266,결말이좀.....,Positiva
16267,이제할게없어서별걸다하시네염....,Negativa
16268,작가는 6785화 까지 만들려고 하나? 재무이사 죽고 다음날은 진용석 첩이 죽겠지 그리고 다음날은 진용석 엄마가 죽겠지 다죽어라~,Negativa
16269,패트레이버 팬인데....영화가 이게 뭐야 ㅠㅠ,Negativa
16270,카페는 아기자기하고.. 계륜미는 이쁘고.. 영화는 지루했다..,Negativa
16271,너바나까지 이용해 먹고 인디라는 뻔뻔함을 내세울것인가,Negativa
16272,79년이다 어린놈들아. 니들이 정자로도 존재하기전 영화다. 무릎꿇고봐라.,Positiva
16273,어디 영화동아리에서 찍은거 같다..,Negativa
16274,"꼭 서세원,심형래 같은 인간쓰레기들이 영화감독해보겠다고..",Negativa
16275,자기만에 세계에 빠진영화. 다른걸 떠나 너무 지루하다.,Negativa
16276,이런.,Negativa
16277,이거 평점 왜이렇게 낮나요 개지리는데 시간가는줄 모르고 몰입함 네이버 평점은 믿을게 못된다 진짜,Positiva
16278,난 이거 시즌1떄안보다가 어쩌다가 티비에하길래 걍빠져버림 ;; 한명한명 특징이 살아있어서 개인적으로 재밌습니다,Positiva
16279,Are you baboo,Negativa
16280,문어발 스케일~ ㅋㅋㅋ 재미있는데요~ 남자 여자 본능을 잘풀이했군요~ ㅋㅋ,Positiva
16281,인디아나 존스 시리즈는 무조건 최고임!,Positiva
16282,스토리가 허접하고 맥락이 맞지 않으면 볼거리라도 풍부하던가 시간아깝다,Negativa
16283,애정결핍 정신병환자의 막장인생,Negativa
16284,재미있게 봐서 10점 준다.,Positiva
16285,"글쎄. 그다지 무섭지도 않고, 끝에 소리 지르는 것만 나오던데....",Negativa
16286,억지스러운 설정에 역겹기만 한 씬들.. 전작의 성공이 꽤나 부담스러웠나 보다.,Negativa
16287,알바쉐리들이 까내린 점수 원상복구하자,Positiva
16288,남주멍청한 건 뭐지? 천재라면서 고도의 기술과 방법으로 적을 응징할 것처럼 비범한 느낌을 주더니 이건 뭐 걍 차에 치이는게 다고...여주도 고고한척 드럽게 해요. 살인마가 눈물 흘리면 불쌍하다고 같이 처울 인간임.,Negativa
16289,중간에 감독이 바뀌었다. 확실하다.,Negativa
16290,"단두대로 뭍히기 전에 알랭들롱 눈 질끈감는다, 얼굴만 잘생긴게 아니라 연기도 섬세해서 놀랬다",Positiva
16291,헐.. 오늘 TV에서 봤는데... 이렇게 예전에 나온건줄 몰랐다..,Positiva
16292,초등학교를 배경으로한 드라마인데 성인인 내가 인생을 살아가는데깨닫고 얻는게 많았던 드라마..매편 가슴속에서 강한울림같은것이느껴져 눈시울을붉히곤했던거같다. 비록 큰조명을 받진 못했던드라마지만 나를 조금이나마 성장시킨 여러가지로 기억에남을작품이다.,Positiva
16293,그냥 b급영화의 전형적인 모습을보여준다. 배우들 캐스팅은 좋았지만 왜 이게 7점대 영화인지 이해가되지않는다,Negativa
16294,"기대 전혀 하지않고 봤는데, ... 헐...",Positiva
16295,"공포도 없고, 깊은 의미도 없다. 큐브릭이란 이름만 보고 10점평가들한듯",Negativa
16296,심심하고 무료하다.,Negativa
16297,에혀 .,Negativa
16298,카메라고정시키고...사람들만왔다갔다..재미없는 몰카보는거같다내용은 무난하,Negativa
16299,솔직히 진짜별로......근데 콜린퍼스가 멋있어서 참고 2편까지봄,Negativa
16300,견자단 어디갔어 이거 ! 견자단 어디갓어?!!,Negativa
16301,내용전개는별로였지만 마지막에너무통쾌했다!낮은평점/설리운운하는사람전부남자인듯,Positiva
16302,이영화 본지가 10년이 넘었는데 저예산이란걸 지금알게 되다니 -.-;;;,Positiva
16303,레니.. 귀여워 죽겠어!! >A</,Positiva
16304,평점 보고봤어야 하는데 저만 느끼는게 아니네요.. 정말 허접스런 CG ㅋㅋ,Negativa
16305,"잘 만든 영화 ,역시 드니로는 허접영화는 출연안하네요.",Positiva
16306,굿!! ^^,Positiva
16307,1시간 20분부터 완전 눈버리고 기분잡친 영화,Negativa
16308,킬러 조가 여성을 차로 치고 도주하는 하이라이트 장면에서는 전율이 느껴졌다...진심 폴 워커를 능가하는 섬세한 드리프트였다...죽기 전에 이런 영화를 보게 된 걸 행운이라고 생각한다.,Negativa
16309,공포영화라기보다 코매디가 어울리는 영화!!!,Negativa
16310,연기가 왜케 어색하지.. 태국말은 소리지르나 안지르나 목소리톤이 같은가>?>ㅋㅋ,Negativa
16311,흐흐흐 재미있음...,Positiva
16312,마음이 짠해요...영화같지 않은 영화라는 느낌이.,Positiva
16313,별 한개도 아깝다 -_-; 영화 내용이 뒤로 갈수록 삼천포로 빠지는듯;,Negativa
16314,부칸에 대한 동경심과 환상을 가지고 잇는 좌좀들이 이를 갈고 싫어할영화 ㅋㅋㅋㅋ 생각보다 볼만함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 글구 평론가 씨네 21저거 한겨례 잡지임....씨네21 ㄱ ㅐ쓰레기 잡지 ㄲ ㅓㅈ ㅕ,Positiva
16315,이게 어떻게 1000만명을 모았는지 궁굼하다.,Negativa
16316,오씨엔에서봤는데 너므 재밌다는 시간때우기였는데ㅋ 건조한내손에땀을쥐게만든다능..ㅋ,Positiva
16317,일단 소년 해부하는 장면이 인형갖고 찍은게 아니라 실제 시체를 쓴거라는걸 알아두자. 내눈엔 작품성 좆노답 쌈마이 영화로밖에 안보인다.,Negativa
16318,"조지 클루니의 또 다른 면을 보게된 영화, 음악도 정말 좋네요.",Positiva
16319,"김탁환 작가의 원작 """"""""노서아가비"""""""" 내용과 동일하게 만들었더라면 더 좋았을 것이란 아쉬움도 있지만 여주인공 김소연씨를 비롯하여 배우들 열연이 좋았고, 차분하게 한번쯤 뭔가를 생각해보게 만든 여운이 남는 작품이었음.""""",Positiva
16320,"보는 내내 왜 만들었을까....하는 생각만. 여행사에서 그냥 협찬해줘서 찍은건가,,,,",Negativa
16321,감동도 있고 마음 훈훈해지는 영화인데 평점이 왜이런지..,Positiva
16322,"대사 한 줄 한 줄이 예술, 소름이 돋음",Positiva
16323,감동.이단어 하나로...,Positiva
16324,신지 새키 전부터 맘에 안들었지만 세상 멸망시켜놓고 또 멸망시키려함 하지 말라는건 죽어도 지 똥고집 부려요 교육못받은새키 그리고 에반게리온 솔직히 무슨 철학적인척 포장하면서 속은 개 모순덩어리 쓰레기 스토리에 허점많은 떡밥들,Negativa
16325,와 너무 흥겹다 내가본 영화중 최고다,Positiva
16326,학창시절 너무너무 재밌게 본영화입니다내인생에 걸작,Positiva
16327,굳이 여고괴담일 필요가 없는 이야기,Negativa
16328,정말 오랜만이다 유실물과 쌍벽을 이루는 작품을 만나다니,Negativa
16329,해석을 봐도 그닥 공감이 안 되네요 저 영알못인가요?,Negativa
16330,마지막 장면이 아직도 마음 찡하게 다가온다~!!!,Positiva
16331,미친여자가 객기부리다 집안꼴말아먹는다,Negativa
16332,ㅋㅋ 오랫만에 포스터 보는데 예전에 너무 재밌게 본 기억이 있어 추천해요 ㅋㅋ,Positiva
16333,휴....다시봐도 최고,Positiva
16334,세월을 초월한 아름답고 순수한 사랑.,Positiva
16335,원작 보기 전에 이 영활 봤더라면 별을 한두개쯤 더 줄 수 있었을 지도 모른다.. 원작을 재밌게 읽었기에 스토리를 정말 거지같이 만들어 놨단 생각이 들더라 이 영화는 눈요기&킬링타임 수준밖에 안된다,Negativa
16336,이게 뭐죠,Positiva
16337,배우들 연기도 멋졌으며 쓸데없는 에피소드없이 사이코패스주인공에 초점이 맞춰진 내용도 굿!마지막에 2탄도 나오는거 같던데 완전기대되는 영화!,Positiva
16338,아주 재밌게 본 영화.. 강추,Positiva
16339,내그녀 너무 재미잇서요,Positiva
16340,아버지 그리고 아들의 사이,Positiva
16341,현실을 배경으로 하는 지지고 볶는 우리네 사는 얘기속 미스테리함을 저마다 가지고 사는 사람들의 이야기 ..간만에 요상한 영화 한 편 잘봤다.,Positiva
16342,마틴이 또 뚱뚱한 할머니분장을 또 할줄은 몰랐다 안쓰러워보인다,Negativa
16343,앞으로 박정아가 나오는 작품은 보지 않겠다는 다짐을 했다.,Negativa
16344,어색할것 같지만 나름대로 잘어울리는 아놀드와 아이들!!,Positiva
16345,1점도아까운영화 뭐지 이건...,Negativa
16346,미국 에이전트는 폭탄을맞아도 총을맞아도 차사고가나도 멀쩡히 뛰어댕긴다 슈퍼히어로무비하지그랬어? ㅗㅗ,Negativa
16347,"진정한 사랑, 감동 대작.ㅋ",Positiva
16348,0점을 줄수없어 정말정말 있는힘껏 아쉽다. 보는내내 어떻게 이딴 영화가 세상밖에 나올수가 있지라는 탄식뿐.. 살면서 본 모든 영화중 단언컨데 최고의 쓰레기.,Negativa
16349,참나..,Negativa
16350,헛읏음이 나오네요 ㅊ팜,Negativa
16351,뒤늦게 보게됫지만 감동..,Positiva
16352,이상하다,Negativa
16353,매력포인트 한개를 찾기가 힘든 실패한로맨틱코미디-_- 비현실적캐릭터부터가 꽝이다,Negativa
16354,짱~♥,Positiva
16355,감동적이야~또 보고싶고 평생기억에 남을 영화가 될듯...,Positiva
16356,심심치 않은 웃음을 주는 기분좋은 영화였던것 같다.,Positiva
16357,가족에 대한 사랑 앞에서는 어떠한 이념도 결국 초라해질 수 밖에 없음을 잘 보여주는 영화,Positiva
16358,여자들은 예쁜데 구성이 엉성 악당들이 도망을 너무 잘 다녀 nypd가 우리나라 해경 수준이네,Negativa
16359,너무 슬프게 잘 봤어요충남 탄천휴게소 놀러와 주세요 ㅋ싸인좀 해줘요 지호 오빠 인하오빠,Positiva
16360,별 0개는 안되나. 새벽에 할거없어서 친구랑 영화 봤는데 미안해 죽겠다,Negativa
16361,보는내내 감독죽여버리고 싶었다,Negativa
16362,진정한명작..하ㅠㅠ,Positiva
16363,참 오랜만에 돈아까운 영화였음,Negativa
16364,우리가 사는 세상이 현실인지 꿈인지 알 수 없다.,Positiva
16365,생각과는 다른 영화... 신선했습니다.,Positiva
16366,배급사 힘내요. 돈없나봐요.,Negativa
16367,아름다움 그 이상의 침묵이라는 말이 가장 어울릴 영화,Positiva
16368,"최고의 영화, 무슨 영화를 이렇게 잘 만들었지? 정말 사랑스럽다 이 재응과 윤진서이렇게 좋은 영화를 지금에사 보다니",Positiva
16369,"가족은 늘 그리운 사람들,자주 만나고 전화안부 하는게 후회없는 가족의 그림과 추억이 될텐데...가족영화의 특급 명화이다.",Positiva
16370,닌자어쌔신과 비교됬던 작품... 닌자어쌔신의 승리다.. 거희흡사하다,Positiva
16371,남자 퓨젼변신 멋지다. 볼거리도 많고 가슴절여,Positiva
16372,스토리가 아쉽지만 나머지가 그래픽과 배경이 다 커버 전투씬 멋짐,Positiva
16373,이게도대체뭐죠??????????????????????????????,Negativa
16374,흑인역사에서 기독교를 뺄 수는 없죠 우리나라의 음악이 과거에 더 발전햇었더라면 지금의 블랙가스펠만큼이나 발전을 할수 있지 않았을까 싶내요.. 흑인이 백인들에게 당한것 만큼이나 우리나라 또한 일제치하에 당하고 맺힌것들이 많으니깐요,Positiva
16375,수면영화의 최고봉! 불면증에 직빵! And napping goes on.,Negativa
16376,정말 재밌었던 영화... 주제곡도 너무 멋있었던...,Positiva
16377,라틴이라는 춤으로 여자주인공을 돋보이게했네요 정말매력적이에요~^^,Positiva
16378,"셀마 헤이엑의,오른쪽 가슴에,2점...셀마 헤이엑의,왼쪽 가슴에,2점...합쳐서,평점4점.너무 많이 쳐줬나?후회되네~(웃음)그렇다고,무조건 후려쳐서 더 깎을수도 없고...",Negativa
16379,정말 개같은영화 아주 족같고 진짜 욕밖에 안나오네 OO키들,Negativa
16380,제임스 카메룬을 향한 사모곡,Negativa
16381,어차피 역사에 손대서 잘 못 만들 바에 그냥 역사대로 만들어보는 게 어떨까 싶다. 요새는 사극인지 소설인지 구분이 안 된다. 현대물에 옷만 예전 옷 입고 하는 느낌이다.,Positiva
16382,너무 슬퍼서 막 울었네 ㅠㅠ,Positiva
16383,어벤져스 전까지 순서대로 보고왔는데 퍼스트어벤져가 내취향상 제일 재밌었다. 흥행도 저조하고 악평도 많은거 같은데 별로 유치하단 생각안들고 히어로중에 제일 인간적이고 감동도있었다.캡아1>아이언맨1>헐크>아이언맨2>토르1 순으로 재밌었다.,Positiva
